customer_id,tenure_months,monthly_spend,contract_type,product_plan,payment_method,late_payments_6m,support_tickets_3m,complaints_6m,average_weekly_usage_hours,days_since_last_login,satisfaction_score,auto_renew,churned
CUST-1399,12,95.75,One-Year,Premium,Mailed Check,5,2,0,48.8,0,2,0,0
CUST-1462,2,118.09,Month-to-Month,Premium,Bank Transfer,0,1,0,25.4,2,3,0,1
CUST-1039,4,30.91,Month-to-Month,Basic,Mailed Check,0,2,0,10.0,10,4,0,0
CUST-1543,49,142.41,One-Year,Basic,Bank Transfer,0,4,0,20.7,24,5,1,0
CUST-1814,36,43.18,One-Year,Basic,Bank Transfer,0,4,0,16.6,18,5,1,0
CUST-1667,70,115.7,Two-Year,Premium,Credit Card,0,3,0,45.9,26,5,1,0
CUST-1226,46,49.02,Two-Year,Basic,Mailed Check,0,5,0,8.8,0,5,0,0
CUST-1212,40,33.51,Two-Year,Basic,Mailed Check,0,0,0,7.4,8,5,1,0
CUST-1751,50,86.7,One-Year,Premium,Bank Transfer,0,5,0,29.5,27,5,1,0
CUST-1826,25,117.16,One-Year,Basic,Electronic Check,0,5,0,12.6,18,4,1,0
CUST-1382,16,115.87,Month-to-Month,Premium,Mailed Check,0,2,0,42.6,37,3,1,0
CUST-1568,56,134.19,One-Year,Basic,Bank Transfer,0,1,0,9.3,12,5,1,0
CUST-1147,61,118.46,Two-Year,Basic,Bank Transfer,0,4,0,5.1,14,4,0,0
CUST-1545,53,77.98,Two-Year,Premium,Bank Transfer,0,1,0,49.4,25,5,1,0
CUST-1847,17,55.72,One-Year,Premium,Electronic Check,3,1,0,20.4,19,4,1,0
CUST-1242,40,112.24,Two-Year,Basic,Credit Card,0,1,0,11.5,14,5,1,0
CUST-1554,69,99.88,Two-Year,Premium,Mailed Check,0,6,1,24.3,27,1,0,0
CUST-1480,24,94.99,Month-to-Month,Premium,Mailed Check,0,5,0,35.3,24,5,1,0
CUST-1622,39,147.97,Two-Year,Basic,Credit Card,0,2,0,20.0,11,4,1,0
CUST-1798,63,114.66,Two-Year,Premium,Credit Card,0,3,0,45.3,17,5,0,0
CUST-1741,18,$108.83,Month-to-Month,Standard,Bank Transfer,0,1,0,5.3,18,4,0,0
CUST-1747,65,77.7,One-Year,Basic,Electronic Check,0,1,0,34.0,17,5,1,0
CUST-1364,4,142.74,Month-to-Month,Basic,Bank Transfer,0,3,0,5.3,12,5,0,0
CUST-1244,34,117.36,One-Year,Basic,Electronic Check,0,3,3,27.8,8,1,0,0
CUST-1174,32,113.72,One-Year,Premium,Bank Transfer,0,1,0,48.1,10,5,1,0
CUST-1717,54,108.68,Two-Year,Standard,Electronic Check,0,0,0,20.9,8,5,1,0
CUST-1201,66,44.52,Two-Year,Standard,Credit Card,0,1,0,6.3,15,5,0,0
CUST-1116,8,29.76,One-Year,Standard,Electronic Check,0,5,0,38.2,4,4,1,0
CUST-1645,63,27.47,One-Year,Premium,Mailed Check,3,2,0,45.8,5,2,1,0
CUST-1133,69,83.68,Two-Year,Standard,Mailed Check,0,2,0,6.2,13,5,1,0
CUST-1184,24,67.55,Month-to-Month,Standard,Credit Card,0,3,0,26.3,19,4,0,0
CUST-1375,49,25.71,One-Year,Standard,Bank Transfer,0,1,0,29.1,13,5,0,0
CUST-1334,42,22.52,One-Year,Premium,Credit Card,0,0,0,16.8,14,4,1,0
CUST-1084,20,109.29,One-Year,Basic,Credit Card,0,0,0,30.3,11,5,1,0
CUST-1550,57,107.39,Two-Year,Standard,Electronic Check,0,5,0,6.7,11,4,1,0
CUST-1330,56,88.05,Two-Year,Premium,Electronic Check,0,3,0,42.6,14,5,1,0
CUST-1981,36,79.27,Month-to-Month,Premium,Mailed Check,1,4,0,16.7,27,,0,0
CUST-1793,24,115.36,One-Year,Basic,Bank Transfer,0,0,0,34.6,23,4,1,0
CUST-1518,44,139.83,Two-Year,Premium,Mailed Check,0,2,0,26.8,13,5,0,0
CUST-1156,49,122.15,Two-Year,Premium,Mailed Check,0,2,0,40.7,15,5,0,0
CUST-1776,54,29.28,Two-Year,Standard,Bank Transfer,0,5,1,36.1,11,1,1,1
CUST-1363,21,22.39,One-Year,Standard,Electronic Check,0,1,0,39.2,8,3,0,0
CUST-1458,13,89.47,One-Year,Basic,Credit Card,0,2,0,20.4,10,2,1,0
CUST-1338,39,45.83,One-Year,Premium,Bank Transfer,0,1,0,24.3,5,4,1,0
CUST-1372,57,71.75,Two-Year,Standard,Mailed Check,0,2,0,4.1,16,5,1,0
CUST-1016,60,52.47,One-Year,Standard,Credit Card,0,4,0,38.8,,4,1,0
CUST-1356,18,82.52,Month-to-Month,Standard,Mailed Check,0,1,0,39.9,16,1,0,0
CUST-1941,64,46.1,Two-Year,Basic,Mailed Check,0,0,0,33.7,5,4,1,0
CUST-1277,72,70.56,Two-Year,Premium,Electronic Check,0,0,0,26.7,30,5,1,0
CUST-1409,64,117.86,Two-Year,Standard,Bank Transfer,0,5,0,10.0,23,5,1,0
CUST-1003,44,33.29,Two-Year,Basic,Electronic Check,0,4,0,3.7,14,4,1,0
CUST-1708,19,56.72,Month-to-Month,Basic,Credit Card,0,2,0,9.9,3,1,0,0
CUST-1130,52,26.65,Two-Year,Basic,Electronic Check,0,0,0,19.1,17,5,0,0
CUST-1280,20,25.19,One-Year,Premium,Credit Card,0,5,0,37.2,15,5,1,0
CUST-1838,54,43.34,Two-Year,Premium,Credit Card,0,0,0,39.8,20,4,1,0
CUST-1468,26,97.34,One-Year,Basic,Bank Transfer,0,5,0,31.1,24,5,0,0
CUST-1175,18,59.06,One-Year,Premium,Bank Transfer,0,1,0,48.8,9,4,0,0
CUST-1018,-12,48.3,One-Year,Premium,Credit Card,4,0,0,31.1,27,2,0,1
CUST-1172,14,23.41,One-Year,Premium,Credit Card,0,2,0,12.5,13,1,0,0
CUST-1876,48,23.08,Two-Year,Standard,Electronic Check,0,5,0,10.2,16,4,1,0
CUST-1663,33,133.1,One-Year,Premium,Bank Transfer,0,1,0,19.7,20,4,1,0
CUST-1142,38,133.98,One-Year,Standard,Credit Card,0,2,0,39.6,17,5,1,0
CUST-1857,60,85.03,One-Year,Premium,Electronic Check,0,1,0,39.4,32,5,0,0
CUST-1319,65,65.15,Two-Year,Basic,Mailed Check,0,5,0,14.0,37,5,1,0
CUST-1655,43,66.87,Two-Year,Premium,Electronic Check,0,2,0,26.6,28,4,1,0
CUST-1695,26,30.12,One-Year,Premium,Bank Transfer,0,5,0,40.0,59,4,1,0
CUST-1020,41,51.03,Two-Year,Basic,Electronic Check,5,0,0,39.9,3,3,1,0
CUST-1527,71,133.56,Two-Year,Premium,Electronic Check,0,0,0,46.2,19,5,0,0
CUST-1168,51,140.75,Two-Year,Basic,Bank Transfer,0,3,0,22.5,12,5,0,0
CUST-1548,44,102.57,Two-Year,Standard,Electronic Check,0,2,0,19.5,19,5,0,0
CUST-1440,35,85.46,One-Year,Standard,Credit Card,0,2,0,21.1,26,5,0,0
CUST-1354,68,25.35,Two-Year,Premium,Bank Transfer,0,5,0,13.9,23,5,1,0
CUST-1479,39,85.6,Two-Year,Standard,Electronic Check,0,3,0,21.6,21,4,0,0
CUST-1613,11,65.28,Month-to-Month,Premium,Credit Card,0,2,0,39.1,27,5,0,1
CUST-1076,13,50.52,One-Year,Basic,Mailed Check,0,5,0,28.5,17,2,0,0
CUST-1342,71,40.84,Two-Year,Basic,Mailed Check,0,2,0,19.3,24,5,1,0
CUST-1653,66,75.52,One-Year,Standard,Credit Card,0,2,0,29.0,7,4,1,0
CUST-1373,15,43.37,One-Year,Premium,Bank Transfer,0,2,0,18.8,18,2,0,1
CUST-1245,2,81.63,Month-to-Month,Premium,Bank Transfer,0,0,0,35.1,30,3,0,1
CUST-1014,63,47.85,One-Year,Premium,Mailed Check,0,3,0,19.2,3,5,1,0
CUST-1406,39,114.51,Two-Year,Standard,Credit Card,0,4,0,4.0,9,4,1,0
CUST-1823,52,74.13,Two-Year,Premium,Credit Card,3,4,0,15.2,50,4,1,0
CUST-1324,45,132.76,Two-Year,Basic,Bank Transfer,0,2,0,27.6,15,4,1,0
CUST-1243,60,85.67,Two-Year,Basic,Credit Card,0,3,0,8.7,27,5,1,0
CUST-1230,58,29.58,One-Year,Standard,Credit Card,2,0,0,35.7,5,4,1,0
CUST-1221,4,61.45,Month-to-Month,Basic,Electronic Check,0,7,1,40.0,5,2,0,0
CUST-1183,51,23.79,Two-Year,Basic,Mailed Check,2,3,0,9.8,24,5,1,0
CUST-1120,38,135.87,One-Year,Premium,Bank Transfer,0,4,0,49.4,25,4,1,0
CUST-1103,31,146.05,One-Year,Standard,Mailed Check,0,-3,0,32.7,15,5,0,0
CUST-1992,55,116.44,Two-Year,Basic,Electronic Check,0,0,0,3.3,3,5,0,0
CUST-1254,48,143.51,Two-Year,Premium,Bank Transfer,0,3,3,25.1,4,2,1,0
CUST-1359,2,64.63,Month-to-Month,Standard,Mailed Check,0,2,0,22.4,6,3,0,0
CUST-1059,41,52.81,One-Year,Standard,Credit Card,0,4,0,4.1,16,5,1,0
CUST-1333,35,57.01,One-Year,Premium,Electronic Check,0,0,0,23.0,20,5,0,0
CUST-1037,54,28.09,Two-Year,Standard,Credit Card,0,4,0,2.2,11,5,1,0
CUST-1063,63,132.48,Two-Year,Premium,Mailed Check,0,4,0,26.3,29,5,1,0
CUST-1699,71,97.34,Two-Year,Standard,Mailed Check,0,5,0,18.6,9,4,0,0
CUST-1625,49,143.55,Two-Year,Premium,Bank Transfer,0,0,0,30.0,30,5,1,0
CUST-1933,26,56.73,Month-to-Month,Standard,Bank Transfer,0,5,0,18.5,2,4,0,0
CUST-1627,12,121.11,One-Year,Standard,Electronic Check,0,3,0,6.6,2,5,1,0
CUST-1870,59,148.99,Two-Year,Standard,Electronic Check,0,1,0,20.4,9,5,0,0
CUST-1748,16,76.21,One-Year,Basic,Bank Transfer,0,5,0,8.5,23,2,1,0
CUST-1394,45,98.58,One-Year,Premium,Credit Card,0,5,0,24.4,20,5,1,0
CUST-1861,57,62.99,Two-Year,Premium,Electronic Check,2,4,0,17.6,59,5,1,0
CUST-1152,68,36.56,One-Year,Basic,Credit Card,0,3,0,22.7,17,4,1,0
CUST-1812,26,110.23,One-Year,Standard,Electronic Check,0,4,0,7.9,11,5,0,0
CUST-1038,29,83.47,One-Year,Standard,Mailed Check,0,9,1,33.9,29,1,0,1
CUST-1996,6,$133.56,Month-to-Month,Premium,Mailed Check,0,5,0,13.8,11,3,0,1
CUST-1164,62,105.71,One-Year,Basic,Mailed Check,6,5,1,27.6,25,1,0,1
CUST-1419,62,35.76,Two-Year,Standard,Electronic Check,6,3,0,5.4,17,2,0,0
CUST-1584,56,79.52,Two-Year,Basic,Credit Card,0,0,0,35.1,8,5,0,0
CUST-1594,41,147.14,Two-Year,Standard,Credit Card,0,4,0,19.1,16,5,1,0
CUST-1320,34,44.33,One-Year,Basic,Electronic Check,0,4,0,9.0,13,5,0,0
CUST-1255,39,143.3,Two-Year,Premium,Electronic Check,0,5,0,25.0,28,4,0,0
CUST-1051,24,145.51,One-Year,Standard,Credit Card,0,3,0,23.9,21,2,0,0
CUST-1388,13,126.88,One-Year,Premium,Bank Transfer,0,0,0,39.1,16,3,0,0
CUST-1707,49,120.15,Two-Year,Basic,Electronic Check,0,1,0,26.3,18,5,0,0
CUST-1007,34,38.15,One-Year,Premium,Electronic Check,0,3,0,27.2,7,5,1,0
CUST-1606,53,117.82,Two-Year,Basic,Credit Card,0,2,0,12.2,6,5,1,0
CUST-1730,35,84.37,Month-to-Month,Basic,Electronic Check,0,5,0,29.9,3,5,0,0
CUST-1878,44,55.89,Two-Year,Standard,Electronic Check,0,1,0,4.8,24,4,1,0
CUST-1860,19,138.69,One-Year,Basic,Electronic Check,0,5,0,19.4,22,2,0,0
CUST-1963,59,102.03,Two-Year,Premium,Credit Card,0,0,0,19.6,23,4,0,0
CUST-1337,67,106.58,One-Year,Standard,Mailed Check,0,2,0,8.0,60,5,1,0
CUST-1155,42,-120.5,One-Year,Premium,Bank Transfer,5,2,0,45.4,29,4,1,0
CUST-1592,2,70.59,Month-to-Month,Basic,Credit Card,0,2,0,16.0,2,4,0,0
CUST-1336,25,136.44,One-Year,Standard,Credit Card,0,5,0,31.3,14,4,1,0
CUST-1216,19,31.86,Month-to-Month,Standard,Mailed Check,0,5,0,33.2,43,4,0,1
CUST-1885,20,44.55,Month-to-Month,Basic,Electronic Check,0,0,0,37.9,1,5,1,0
CUST-1154,7,51.82,Month-to-Month,Standard,Mailed Check,0,1,0,31.5,4,3,0,0
CUST-1893,68,42.07,One-Year,Basic,Electronic Check,0,0,0,4.5,30,5,1,0
CUST-1713,40,41.53,One-Year,Premium,Mailed Check,0,3,0,40.4,26,5,1,0
CUST-1967,1,105.13,One-Year,Standard,Electronic Check,4,0,0,15.1,23,2,0,0
CUST-1287,39,98.85,Two-Year,Standard,Mailed Check,2,5,0,22.3,4,5,0,0
CUST-1916,57,$136.45,One-Year,Basic,Electronic Check,0,7,2,22.5,12,2,1,0
CUST-1740,46,52.33,Two-Year,Premium,Mailed Check,0,0,0,47.0,19,5,0,0
CUST-1801,3,118.17,One-Year,Basic,Mailed Check,0,0,0,13.5,7,,1,0
CUST-1341,18,52.59,Month-to-Month,Standard,Mailed Check,0,4,0,9.2,5,3,1,0
CUST-1611,49,$99.41,Two-Year,Standard,Credit Card,1,5,1,35.0,8,2,1,0
CUST-1489,57,102.08,Two-Year,Standard,Credit Card,0,0,0,37.7,15,5,1,0
CUST-1240,31,26.41,One-Year,Standard,Electronic Check,0,5,1,20.7,22,2,1,0
CUST-1135,25,22.46,One-Year,Standard,Bank Transfer,0,1,0,31.4,29,5,1,0
CUST-1610,49,98.39,Two-Year,Standard,Mailed Check,0,4,0,16.1,28,4,0,0
CUST-1589,67,103.33,Two-Year,Premium,Credit Card,0,2,0,34.7,1,4,1,0
CUST-1400,31,76.12,One-Year,Standard,Electronic Check,0,3,0,22.7,,4,1,0
CUST-1832,39,25.22,One-Year,Premium,Credit Card,0,2,0,27.2,0,5,0,0
CUST-1239,45,134.13,Two-Year,Standard,Mailed Check,3,3,0,17.3,19,2,1,0
CUST-1427,58,73.56,One-Year,Premium,Credit Card,0,5,0,48.1,20,5,1,0
CUST-1203,8,143.33,Month-to-Month,Premium,Electronic Check,0,4,0,28.1,12,5,1,0
CUST-1251,16,81.17,One-Year,Premium,Credit Card,0,1,0,45.0,12,4,,0
CUST-1470,64,108.15,One-Year,Standard,Electronic Check,0,4,0,30.9,21,5,1,0
CUST-1322,20,81.49,Month-to-Month,Basic,Mailed Check,0,5,0,29.4,25,3,0,0
CUST-1977,19,101.07,Month-to-Month,Premium,Mailed Check,0,5,0,29.1,24,3,0,0
CUST-1829,27,53.57,One-Year,Standard,Credit Card,0,4,0,9.1,4,5,1,0
CUST-1408,23,53.96,One-Year,Basic,Mailed Check,0,4,0,15.0,2,5,0,0
CUST-1906,42,$21.4,One-Year,Premium,Electronic Check,0,5,0,20.8,14,5,0,0
CUST-1780,15,110.1,One-Year,Premium,Mailed Check,0,2,0,14.9,11,5,1,0
CUST-1909,14,132.47,One-Year,Premium,Electronic Check,0,5,0,27.9,26,3,1,0
CUST-1945,14,108.96,Month-to-Month,Standard,Credit Card,0,3,0,6.5,7,1,1,0
CUST-1057,3,149.94,One-Year,Standard,Credit Card,0,1,0,26.8,29,5,1,0
CUST-1762,39,121.6,One-Year,Basic,Credit Card,0,5,1,30.0,17,3,0,0
CUST-1233,62,45.96,One-Year,Basic,Bank Transfer,0,0,0,6.4,25,5,1,0
CUST-1650,2,76.46,Month-to-Month,Standard,Mailed Check,0,6,1,9.1,8,2,0,1
CUST-1302,24,101.02,One-Year,Standard,Bank Transfer,0,2,0,24.7,2,4,1,0
CUST-1899,63,120.36,Two-Year,Premium,Credit Card,0,2,0,22.0,25,5,1,0
CUST-1964,56,122.91,One-Year,Basic,Credit Card,0,3,0,22.1,15,5,0,0
CUST-1565,43,124.95,Two-Year,Basic,Mailed Check,0,0,0,4.8,0,5,1,0
CUST-1694,22,45.82,One-Year,Standard,Mailed Check,0,1,0,18.6,29,4,0,0
CUST-1080,42,22.05,Two-Year,Basic,Bank Transfer,1,4,0,20.1,24,4,1,0
CUST-1460,67,119.27,Two-Year,Basic,Electronic Check,0,3,1,7.4,7,2,0,0
CUST-1802,49,105.19,One-Year,Premium,Electronic Check,6,0,0,38.7,23,3,1,0
CUST-1735,4,51.77,One-Year,Premium,Mailed Check,4,5,0,36.3,30,4,0,0
CUST-1686,2,38.54,Month-to-Month,Premium,Credit Card,0,3,0,47.5,5,5,1,0
CUST-1746,1,124.73,One-Year,Premium,Bank Transfer,0,0,0,45.4,16,2,1,1
CUST-1030,53,62.4,Two-Year,Standard,Bank Transfer,0,5,0,27.7,28,5,1,0
CUST-1559,8,92.7,Month-to-Month,Standard,Mailed Check,0,2,1,19.6,13,1,0,1
CUST-1257,69,101.01,Two-Year,Basic,Credit Card,1,0,0,17.8,12,5,0,0
