customerID,churn_probability,predicted_future_12_month_revenue,revenue_at_risk,priority_rank,retention_segment,recommended_action
0897-FEGMU,0.8436,1265.0,1067.15,112,Critical Priority,Immediate personal call from customer-success team
9681-OXGVC,0.8436,1264.66,1066.87,113,Critical Priority,Immediate personal call from customer-success team
9172-ANCRX,0.8436,1264.53,1066.76,114,Critical Priority,Immediate personal call from customer-success team
1455-ESIQH,0.9422,1131.26,1065.87,115,"High Risk, Lower Value",Automated retention campaign or targeted offer
9290-SHCMB,0.8436,1263.08,1065.53,116,Critical Priority,Immediate personal call from customer-success team
7450-NWRTR,0.8436,1262.89,1065.37,117,Critical Priority,Immediate personal call from customer-success team
6861-XWTWQ,0.8436,1262.65,1065.17,118,Critical Priority,Immediate personal call from customer-success team
5138-WVKYJ,0.8436,1261.98,1064.61,119,Critical Priority,Immediate personal call from customer-success team
4822-RVYBB,0.8436,1261.27,1064.01,120,Critical Priority,Immediate personal call from customer-success team
3811-VBYBZ,0.8436,1261.2,1063.95,121,Critical Priority,Immediate personal call from customer-success team
0781-LKXBR,0.8436,1261.11,1063.87,122,Critical Priority,Immediate personal call from customer-success team
0952-KMEEH,0.8436,1261.05,1063.82,123,Critical Priority,Immediate personal call from customer-success team
7295-JOMMD,0.8436,1260.72,1063.54,124,Critical Priority,Immediate personal call from customer-success team
1450-GALXR,0.8436,1260.58,1063.43,125,Critical Priority,Immediate personal call from customer-success team
4176-FXYBO,0.7294,1457.92,1063.41,126,Critical Priority,Immediate personal call from customer-success team
9305-CDSKC,0.8436,1259.23,1062.29,127,Critical Priority,Immediate personal call from customer-success team
3571-RFHAR,0.7294,1455.54,1061.67,128,Critical Priority,Immediate personal call from customer-success team
1455-UGQVH,0.8436,1257.28,1060.64,129,Critical Priority,Immediate personal call from customer-success team
2506-CLAKW,0.8436,1257.17,1060.55,130,Critical Priority,Immediate personal call from customer-success team
2984-AFWNC,0.8436,1257.13,1060.51,131,Critical Priority,Immediate personal call from customer-success team
4445-ZJNMU,0.8436,1256.55,1060.03,132,Critical Priority,Immediate personal call from customer-success team
5183-SNMJQ,0.8436,1256.1,1059.65,133,Critical Priority,Immediate personal call from customer-success team
6210-KBBPI,0.8436,1255.0,1058.72,134,Critical Priority,Immediate personal call from customer-success team
1548-FEHVL,0.7294,1450.86,1058.26,135,Critical Priority,Immediate personal call from customer-success team
3643-AHCFP,0.8436,1254.08,1057.94,136,Critical Priority,Immediate personal call from customer-success team
6599-RCLCJ,0.7294,1450.18,1057.76,137,Critical Priority,Immediate personal call from customer-success team
2754-VDLTR,0.8436,1253.34,1057.32,138,Critical Priority,Immediate personal call from customer-success team
9572-MTILT,0.7294,1449.53,1057.29,139,Critical Priority,Immediate personal call from customer-success team
3585-ISXZP,0.8436,1253.12,1057.13,140,Critical Priority,Immediate personal call from customer-success team
3722-WPXTK,0.9422,1121.3,1056.49,141,"High Risk, Lower Value",Automated retention campaign or targeted offer
0011-IGKFF,0.8436,1252.35,1056.48,142,Critical Priority,Immediate personal call from customer-success team
3737-GCSPV,0.8436,1251.97,1056.16,143,Critical Priority,Immediate personal call from customer-success team
5647-FXOTP,0.7294,1447.72,1055.97,144,Critical Priority,Immediate personal call from customer-success team
2378-VTKDH,0.7294,1447.16,1055.56,145,Critical Priority,Immediate personal call from customer-success team
3049-SOLAY,0.8436,1251.22,1055.53,146,Critical Priority,Immediate personal call from customer-success team
7851-WZEKY,0.8436,1251.06,1055.39,147,Critical Priority,Immediate personal call from customer-success team
0306-JAELE,0.8436,1249.65,1054.2,148,Critical Priority,Immediate personal call from customer-success team
0880-TKATG,0.8436,1249.5,1054.08,149,Critical Priority,Immediate personal call from customer-success team
0564-JJHGS,0.8436,1249.45,1054.04,150,Critical Priority,Immediate personal call from customer-success team
6326-MTTXK,0.8436,1249.29,1053.9,151,Critical Priority,Immediate personal call from customer-success team
6023-YEBUP,0.8436,1249.06,1053.71,152,Critical Priority,Immediate personal call from customer-success team
5339-TJFEK,0.7294,1443.97,1053.23,153,Critical Priority,Immediate personal call from customer-success team
8535-SFUTN,0.7294,1443.89,1053.17,154,Critical Priority,Immediate personal call from customer-success team
2660-EMUBI,0.8436,1247.73,1052.59,155,Critical Priority,Immediate personal call from customer-success team
6108-OQZDQ,0.8436,1247.47,1052.37,156,Critical Priority,Immediate personal call from customer-success team
6328-ZPBGN,0.8436,1247.43,1052.33,157,Critical Priority,Immediate personal call from customer-success team
8413-VONUO,0.8436,1247.14,1052.09,158,Critical Priority,Immediate personal call from customer-success team
6377-WHAOX,0.7294,1442.33,1052.04,159,Critical Priority,Immediate personal call from customer-success team
9137-UIYPG,0.7294,1442.31,1052.02,160,Critical Priority,Immediate personal call from customer-success team
7234-FECYN,0.8436,1246.95,1051.93,161,Critical Priority,Immediate personal call from customer-success team
9057-SIHCH,0.8436,1246.94,1051.92,162,Critical Priority,Immediate personal call from customer-success team
9944-HKVVB,0.8436,1245.38,1050.6,163,Critical Priority,Immediate personal call from customer-success team
8168-UQWWF,0.8436,1245.04,1050.32,164,Critical Priority,Immediate personal call from customer-success team
9971-ZWPBF,0.7294,1439.49,1049.96,165,Critical Priority,Immediate personal call from customer-success team
8552-OBVRU,0.7294,1439.2,1049.75,166,Critical Priority,Immediate personal call from customer-success team
7752-XUSCI,0.7294,1439.06,1049.65,167,Critical Priority,Immediate personal call from customer-success team
4191-XOVOM,0.7294,1438.93,1049.56,168,Critical Priority,Immediate personal call from customer-success team
4060-LDNLU,0.8436,1243.98,1049.42,169,Critical Priority,Immediate personal call from customer-success team
2360-RDGRO,0.7294,1437.52,1048.53,170,Critical Priority,Immediate personal call from customer-success team
4566-NECEV,0.8436,1242.38,1048.07,171,Critical Priority,Immediate personal call from customer-success team
6821-BUXUX,0.8436,1241.9,1047.67,172,Critical Priority,Immediate personal call from customer-success team
8098-LLAZX,0.8436,1241.69,1047.49,173,Critical Priority,Immediate personal call from customer-success team
9734-YWGEX,0.8436,1241.46,1047.3,174,Critical Priority,Immediate personal call from customer-success team
1010-DIAUQ,0.8436,1241.41,1047.25,175,Critical Priority,Immediate personal call from customer-success team
4220-TINQT,0.7294,1435.72,1047.21,176,Critical Priority,Immediate personal call from customer-success team
3174-RKMOW,0.7294,1435.25,1046.87,177,Critical Priority,Immediate personal call from customer-success team
7821-DPRQE,0.7294,1434.42,1046.27,178,Critical Priority,Immediate personal call from customer-success team
8844-TONUD,0.8436,1239.48,1045.63,179,Critical Priority,Immediate personal call from customer-success team
5385-SUIRI,0.7294,1432.49,1044.86,180,Critical Priority,Immediate personal call from customer-success team
9822-WMWVG,0.7294,1431.79,1044.35,181,Critical Priority,Immediate personal call from customer-success team
5055-MGMGF,0.7294,1430.7,1043.55,182,Critical Priority,Immediate personal call from customer-success team
0655-RBDUG,0.8436,1236.21,1042.87,183,Critical Priority,Immediate personal call from customer-success team
8357-EQXFO,0.8436,1235.97,1042.66,184,Critical Priority,Immediate personal call from customer-success team
9061-TIHDA,0.8436,1235.74,1042.47,185,Critical Priority,Immediate personal call from customer-success team
4446-BZKHU,0.7294,1429.06,1042.36,186,Critical Priority,Immediate personal call from customer-success team
3793-MMFUH,0.8436,1235.59,1042.34,187,Critical Priority,Immediate personal call from customer-success team
0754-UKWQP,0.8436,1235.2,1042.01,188,Critical Priority,Immediate personal call from customer-success team
7548-SEPYI,0.8436,1234.71,1041.6,189,Critical Priority,Immediate personal call from customer-success team
2454-RPBRZ,0.8436,1233.07,1040.22,190,Critical Priority,Immediate personal call from customer-success team
2615-YVMYX,0.7294,1425.56,1039.8,191,Critical Priority,Immediate personal call from customer-success team
4929-XIHVW,0.8436,1232.18,1039.47,192,Critical Priority,Immediate personal call from customer-success team
2446-BEGGB,0.8436,1232.01,1039.32,193,Critical Priority,Immediate personal call from customer-success team
3387-VATUS,0.8436,1231.59,1038.97,194,Critical Priority,Immediate personal call from customer-success team
6877-TJMBR,0.9422,1101.92,1038.23,195,"High Risk, Lower Value",Automated retention campaign or targeted offer
7526-BEZQB,0.8436,1230.03,1037.65,196,Critical Priority,Immediate personal call from customer-success team
8800-ZKRFW,0.7294,1421.63,1036.94,197,Critical Priority,Immediate personal call from customer-success team
1960-UYCNN,0.8436,1229.09,1036.86,198,Critical Priority,Immediate personal call from customer-success team
3874-EQOEP,0.8436,1228.96,1036.75,199,Critical Priority,Immediate personal call from customer-success team
3319-DWOEP,0.8436,1228.86,1036.67,200,Critical Priority,Immediate personal call from customer-success team
4840-ORQXB,0.7294,1419.69,1035.52,201,Critical Priority,Immediate personal call from customer-success team
5804-HYIEZ,0.7294,1417.65,1034.03,202,Critical Priority,Immediate personal call from customer-success team
9714-EDSUC,0.8436,1225.39,1033.74,203,Critical Priority,Immediate personal call from customer-success team
3158-MOERK,0.8436,1224.64,1033.11,204,Critical Priority,Immediate personal call from customer-success team
4188-FRABG,0.7294,1416.21,1032.98,205,Critical Priority,Immediate personal call from customer-success team
0114-PEGZZ,0.7294,1416.08,1032.89,206,Critical Priority,Immediate personal call from customer-success team
7825-ECJRF,0.7294,1415.57,1032.52,207,Critical Priority,Immediate personal call from customer-success team
2344-JMOGN,0.8436,1223.85,1032.44,208,Critical Priority,Immediate personal call from customer-success team
9090-SGQXL,0.7294,1413.18,1030.77,209,Critical Priority,Immediate personal call from customer-success team
4826-XTSOH,0.9422,1092.18,1029.05,210,"High Risk, Lower Value",Automated retention campaign or targeted offer
9661-ACXBS,0.7294,1409.89,1028.37,211,Critical Priority,Immediate personal call from customer-success team
5150-ITWWB,0.8436,1218.71,1028.1,212,Critical Priority,Immediate personal call from customer-success team
7048-GXDAY,0.7294,1409.05,1027.76,213,Critical Priority,Immediate personal call from customer-success team
1104-TNLZA,0.7294,1408.93,1027.67,214,Critical Priority,Immediate personal call from customer-success team
0023-XUOPT,0.8436,1216.37,1026.13,215,Critical Priority,Immediate personal call from customer-success team
4716-HHKQH,0.7294,1406.32,1025.77,216,Critical Priority,Immediate personal call from customer-success team
4154-AQUGT,0.8436,1215.87,1025.71,217,Critical Priority,Immediate personal call from customer-success team
8603-IJWDN,0.9422,1087.85,1024.97,218,"High Risk, Lower Value",Automated retention campaign or targeted offer
5649-ANRML,0.8436,1214.82,1024.82,219,Critical Priority,Immediate personal call from customer-success team
2180-DXNEG,0.8436,1214.35,1024.43,220,Critical Priority,Immediate personal call from customer-success team
0337-CNPZE,0.7294,1404.18,1024.21,221,Critical Priority,Immediate personal call from customer-success team
9408-HRXRK,0.7294,1403.81,1023.94,222,Critical Priority,Immediate personal call from customer-success team
7943-RQCHR,0.8436,1213.66,1023.84,223,Critical Priority,Immediate personal call from customer-success team
5192-EBGOV,0.9422,1086.33,1023.54,224,"High Risk, Lower Value",Automated retention campaign or targeted offer
2792-LSHWX,0.9422,1085.9,1023.13,225,"High Risk, Lower Value",Automated retention campaign or targeted offer
9763-PDTKK,0.8436,1212.79,1023.11,226,Critical Priority,Immediate personal call from customer-success team
0094-OIFMO,0.8436,1210.71,1021.35,227,Critical Priority,Immediate personal call from customer-success team
5597-GLBUC,0.9422,1083.61,1020.98,228,"High Risk, Lower Value",Automated retention campaign or targeted offer
3045-XETSH,0.8436,1210.22,1020.94,229,Critical Priority,Immediate personal call from customer-success team
4484-GLZOU,0.7294,1398.99,1020.42,230,Critical Priority,Immediate personal call from customer-success team
3049-NDXFL,0.9422,1082.95,1020.36,231,"High Risk, Lower Value",Automated retention campaign or targeted offer
5630-IXDXV,0.7294,1398.45,1020.03,232,Critical Priority,Immediate personal call from customer-success team
1069-XAIEM,0.9422,1082.06,1019.52,233,"High Risk, Lower Value",Automated retention campaign or targeted offer
4844-JJWUY,0.9422,1081.68,1019.16,234,"High Risk, Lower Value",Automated retention campaign or targeted offer
1309-BXVOQ,0.7294,1395.98,1018.23,235,Critical Priority,Immediate personal call from customer-success team
7398-SKNQZ,0.8436,1206.87,1018.12,236,Critical Priority,Immediate personal call from customer-success team
6772-KSATR,0.9422,1080.37,1017.92,237,"High Risk, Lower Value",Automated retention campaign or targeted offer
9168-INPSZ,0.7294,1395.35,1017.77,238,Critical Priority,Immediate personal call from customer-success team
3006-XIMLN,0.8436,1205.92,1017.31,239,Critical Priority,Immediate personal call from customer-success team
2013-SGDXK,0.9422,1079.59,1017.19,240,"High Risk, Lower Value",Automated retention campaign or targeted offer
1374-DMZUI,0.8436,1205.39,1016.87,241,Critical Priority,Immediate personal call from customer-success team
8938-UMKPI,0.7294,1393.62,1016.51,242,Critical Priority,Immediate personal call from customer-success team
8937-RDTHP,0.9422,1078.43,1016.1,243,"High Risk, Lower Value",Automated retention campaign or targeted offer
7207-RMRDB,0.7294,1393.04,1016.08,244,Critical Priority,Immediate personal call from customer-success team
3957-LXOLK,0.7294,1392.95,1016.02,245,Critical Priority,Immediate personal call from customer-success team
6230-BSUXY,0.9422,1078.0,1015.69,246,"High Risk, Lower Value",Automated retention campaign or targeted offer
7209-JCUDS,0.8436,1203.82,1015.54,247,Critical Priority,Immediate personal call from customer-success team
0235-KGSLC,0.9422,1077.73,1015.44,248,"High Risk, Lower Value",Automated retention campaign or targeted offer
1469-LBJQJ,0.7294,1391.03,1014.62,249,Critical Priority,Immediate personal call from customer-success team
9025-AOMKI,0.8436,1202.0,1014.01,250,Critical Priority,Immediate personal call from customer-success team
4077-CROMM,0.7294,1389.91,1013.8,251,Critical Priority,Immediate personal call from customer-success team
6900-PXRMS,0.7294,1388.84,1013.02,252,Critical Priority,Immediate personal call from customer-success team
0895-DQHEW,0.7294,1388.33,1012.65,253,Critical Priority,Immediate personal call from customer-success team
9124-LHCJQ,0.9422,1074.54,1012.43,254,"High Risk, Lower Value",Automated retention campaign or targeted offer
6518-LGAOV,0.7294,1387.81,1012.27,255,Critical Priority,Immediate personal call from customer-success team
9282-IZGQK,0.9422,1074.28,1012.19,256,"High Risk, Lower Value",Automated retention campaign or targeted offer
5698-BQJOH,0.8436,1199.31,1011.74,257,"High Risk, Lower Value",Automated retention campaign or targeted offer
6350-XFYGW,0.8436,1198.83,1011.33,258,"High Risk, Lower Value",Automated retention campaign or targeted offer
5519-NPHVG,0.8436,1198.5,1011.05,259,"High Risk, Lower Value",Automated retention campaign or targeted offer
5129-JLPIS,0.7294,1385.62,1010.67,260,Critical Priority,Immediate personal call from customer-success team
5502-RLUYV,0.7294,1385.54,1010.61,261,Critical Priority,Immediate personal call from customer-success team
1628-BIZYP,0.9422,1072.07,1010.1,262,"High Risk, Lower Value",Automated retention campaign or targeted offer
8868-WOZGU,0.7294,1384.63,1009.95,263,Critical Priority,Immediate personal call from customer-success team
1731-TVIUK,0.8436,1196.33,1009.22,264,"High Risk, Lower Value",Automated retention campaign or targeted offer
3338-CVVEH,0.8436,1196.04,1008.98,265,"High Risk, Lower Value",Automated retention campaign or targeted offer
0325-XBFAC,0.8436,1195.97,1008.92,266,"High Risk, Lower Value",Automated retention campaign or targeted offer
2208-UGTGR,0.7294,1383.13,1008.86,267,Critical Priority,Immediate personal call from customer-success team
8481-YYXWG,0.8436,1195.61,1008.62,268,"High Risk, Lower Value",Automated retention campaign or targeted offer
1427-VERSM,0.7294,1382.74,1008.57,269,Critical Priority,Immediate personal call from customer-success team
5168-MSWXT,0.8436,1195.54,1008.56,270,"High Risk, Lower Value",Automated retention campaign or targeted offer
2786-GCDPI,0.7294,1382.32,1008.26,271,Critical Priority,Immediate personal call from customer-success team
3217-FZDMN,0.8436,1194.46,1007.65,272,"High Risk, Lower Value",Automated retention campaign or targeted offer
1035-IPQPU,0.7294,1381.06,1007.35,273,Critical Priority,Immediate personal call from customer-success team
2202-CUYXZ,0.9422,1068.98,1007.19,274,"High Risk, Lower Value",Automated retention campaign or targeted offer
7120-RFMVS,0.9422,1068.71,1006.94,275,"High Risk, Lower Value",Automated retention campaign or targeted offer
2645-QTLMB,0.8436,1193.3,1006.67,276,"High Risk, Lower Value",Automated retention campaign or targeted offer
5380-AFSSK,0.8436,1192.96,1006.38,277,"High Risk, Lower Value",Automated retention campaign or targeted offer
4626-GYCZP,0.8436,1192.89,1006.32,278,"High Risk, Lower Value",Automated retention campaign or targeted offer
7549-MYGPK,0.7294,1379.55,1006.24,279,Critical Priority,Immediate personal call from customer-success team
9927-DSWDF,0.7294,1378.55,1005.51,280,Critical Priority,Immediate personal call from customer-success team
4192-GORJT,0.8436,1191.88,1005.47,281,"High Risk, Lower Value",Automated retention campaign or targeted offer
5141-ZUVBH,0.8436,1191.86,1005.45,282,"High Risk, Lower Value",Automated retention campaign or targeted offer
8161-QYMTT,0.8436,1191.86,1005.45,283,"High Risk, Lower Value",Automated retention campaign or targeted offer
5567-WSELE,0.8436,1191.77,1005.38,284,"High Risk, Lower Value",Automated retention campaign or targeted offer
6988-CJEYV,0.7294,1378.18,1005.24,285,Critical Priority,Immediate personal call from customer-success team
9093-FPDLG,0.8436,1191.08,1004.8,286,"High Risk, Lower Value",Automated retention campaign or targeted offer
0742-NXBGR,0.9422,1066.02,1004.4,287,"High Risk, Lower Value",Automated retention campaign or targeted offer
